driver_number,lap_number,lap_time_seconds,duration_sector_1,duration_sector_2,duration_sector_3,is_pit_out_lap,lap_time_formatted
18,2,119.436,29.732,50.693,39.011,false,1:59.436
77,2,99.308,29.095,42.086,28.127,false,1:39.308
40,2,116.618,32.176,46.433,38.009,false,1:56.617
14,2,100.337,29.207,42.754,28.376,false,1:40.337
24,2,102.182,29.844,43.536,28.802,false,1:42.182
63,2,100.348,28.863,43.28,28.205,false,1:40.347
31,2,100.645,29.469,42.664,28.512,false,1:40.644
4,2,97.895,28.646,41.804,27.445,false,1:37.894
55,2,98.999,28.93,42.094,27.975,false,1:38.998
11,2,99.624,28.879,42.478,28.267,false,1:39.623
44,2,99.012,28.998,42.021,27.993,false,1:39.012
16,2,98.224,28.661,41.605,27.958,false,1:38.224
22,2,100.995,29.708,42.752,28.535,false,1:40.995
81,2,100.014,29.246,42.914,27.854,false,1:40.013
1,2,98.169,28.709,41.723,27.737,false,1:38.168
10,2,97.991,28.87,41.636,27.485,false,1:37.990
77,3,136.213,40.847,58.96,36.406,false,2:16.212
20,2,98.953,28.927,41.877,28.149,false,1:38.953
27,2,99.109,28.875,41.692,28.542,false,1:39.108
14,3,100.963,30.148,42.563,28.252,false,1:40.962
40,3,100.925,29.255,43.049,28.621,false,1:40.924
24,3,100.017,28.974,42.636,28.407,false,1:40.016
63,3,98.97,28.803,42.398,27.769,false,1:38.969
31,3,155.369,43.814,63.072,48.483,false,2:35.368
4,3,138.582,38.037,61.86,38.685,false,2:18.581
55,3,137.544,32.525,60.63,44.389,false,2:17.544
11,3,143.545,42.318,58.349,42.878,false,2:23.544
44,3,172.594,48.803,81.749,42.042,false,2:52.593
16,3,142.692,39.257,71.113,32.322,false,2:22.692
22,3,138.76,41.108,60.076,37.576,false,2:18.759
81,3,141.92,42.816,60.305,38.799,false,2:21.919
1,3,159.585,50.422,70.231,38.932,false,2:39.585
10,3,145.883,44.152,61.874,39.857,false,2:25.883
20,3,156.196,43.604,68.03,44.562,false,2:36.195
27,3,140.505,42.111,61.826,36.568,false,2:20.504
2,2,101.972,29.329,43.714,28.929,false,1:41.971
14,4,151.423,39.617,69.859,41.947,false,2:31.423
40,4,153.382,41.57,63.758,48.054,false,2:33.382
24,4,99.667,29.136,42.416,28.115,false,1:39.667
